MsCode, Year, EstCode, Estimate, SE, LowerCIB, UpperCIB, Flag
MEASA,2007,_Proportion, 14, 1.3, 12.7, 15.4, 
MEASA,2007,_ChangeInProportion, , , , ,A
MEASA,2007,_Number, 150.8, 14.1, 136.7, 164.9, 
MEASA,2007,_ChangeInNumber, , , , ,A
MEASA,2007,_Population, 1073.4, , , , 
MEASA,2008,_Proportion, 14.5, 1.1, 13.4, 15.6, 
MEASA,2008,_ChangeInProportion, 0.4, 1.8, -1.3, 2.2, 
MEASA,2008,_Number, 155.9, 11.7, 144.2, 167.6, 
MEASA,2008,_ChangeInNumber, 5.1, 19.1, -14, 24.2, 
MEASA,2008,_Population, 1076.5, , , , 
MEASA,2009,_Proportion, 14, 1.1, 12.8, 15.1, 
MEASA,2009,_ChangeInProportion, -0.5, 1.5, -2, 1, 
MEASA,2009,_Number, 150.6, 12.3, 138.4, 162.9, 
MEASA,2009,_ChangeInNumber, -5.3, 16.3, -21.6, 11, 
MEASA,2009,_Population, 1078.1, , , , 
MEASA,2010,_Proportion, 14.1, 1.3, 12.8, 15.4, 
MEASA,2010,_ChangeInProportion, 0.1, 1.7, -1.6, 1.8, 
MEASA,2010,_Number, 152.5, 14.4, 138.1, 166.9, 
MEASA,2010,_ChangeInNumber, 1.9, 18.2, -16.3,20.1, 
MEASA,2010,_Population, 1082.6, , , , 
MEASA,2011,_Proportion, 14.9, 1.3, 13.6, 16.2, 
MEASA,2011,_ChangeInProportion, 0.8, 1.7, -0.9, 2.5, 
MEASA,2011,_Number, 161.9, 13.9, 148, 175.8, 
MEASA,2011,_ChangeInNumber, 9.4, 18.3, -8.9, 27.7, 
MEASA,2011,_Population, 1086.9, , , , 
MEASA,2012,_Proportion, 14.8, 1.1, 13.7, 15.9, 
MEASA,2012,_ChangeInProportion, -0.1, 1.7, -1.8, 1.7, 
MEASA,2012,_Number, 160.9, 11.9, 149, 172.8, 
MEASA,2012,_ChangeInNumber, -1, 18.8, -19.8, 17.8, 
MEASA,2012,_Population, 1085.9, , , , 
MEASA,2013,_Proportion, 15.6, 1.2, 14.4, 16.7, 
MEASA,2013,_ChangeInProportion, 0.8, 1.5, -0.7, 2.3, 
MEASA,2013,_Number, 169, 12.6, 156.4, 181.6, 
MEASA,2013,_ChangeInNumber, 8.1, 16.4, -8.3, 24.5, 
MEASA,2013,_Population, 1084.7, , , , 
MEASA,2014,_Proportion, 14.5, 1.1, 13.4, 15.7, 
MEASA,2014,_ChangeInProportion, -1.1, 1.5, -2.6, 0.5, 
MEASA,2014,_Number, 157.5, 12.3, 145.2, 169.8, 
MEASA,2014,_ChangeInNumber, -11.5, 16.7, -28.2, 5.2, 
MEASA,2014,_Population, 1083.9, , , , 
MEASA,2015,_Proportion, 16.3, 1.1, 15.2, 17.4, 
